cid,smiles,ik
164072,CC1=NC2=C(CC3=C(O2)C=CC(=C3)C(C)C(=O)OCC(=O)N(C)C)C=C1,ZAKRMJAETCUYKK-UHFFFAOYSA-N
156414,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,OMZCMEYTWSXEPZ-UHFFFAOYSA-N
5284620,C[C@@H]1C/C=C/C=C/[C@@H]([C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)OC(=O)C)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)O[C@@H]4CC[C@@H]([C@H](O4)C)N(C)C,ZPCCSZFPOXBNDL-TXJOLGFOSA-N
656667,CC1=C([C@H](C(=C(N1)C)C(=O)O[C@@H]2CCCN(C2)CC3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC.Cl,KILKDKRQBYMKQX-MIPPOABVSA-N
5311454,CC(C)(C)C(/C=C/C1=CC2=C(C=C1)OCO2)O,IBLNKMRFIPWSOY-FNORWQNLSA-N
21660,C1CCC(C(C1)C(=O)OCC2CO2)C(=O)OCC3CO3,XFUOBHWPTSIEOV-UHFFFAOYSA-N
67955,CNC1=NC=NC2=C1NC=N2,CKOMXBHMKXXTNW-UHFFFAOYSA-N
5281707,C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O,ZZIALNLLNHEQPJ-UHFFFAOYSA-N
15439,C=CCCCCCCC=C,NLDGJRWPPOSWLC-UHFFFAOYSA-N
5391,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,SEQDDYPDSLOBDC-UHFFFAOYSA-N
6537495,CC(=O)[O-].CC(=O)[O-].O.O.[Cd+2],AUIZLSZEDUYGDE-UHFFFAOYSA-L
7248,CC1=C(C=C(C=C1)N)C,DOLQYFPDPKPQSS-UHFFFAOYSA-N
21694,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)[N+](=O)[O-],ALRLPDGCPYIVHP-UHFFFAOYSA-N
7595,C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2,GWEHVDNNLFDJLR-UHFFFAOYSA-N
15752,C1=C(C=C(C(=C1[N+](=O)[O-])N)Br)[N+](=O)[O-],KWMDHCLJYMVBNS-UHFFFAOYSA-N
5281034,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(C/C(=C/O)/C(=O)C4)C,ICMWWNHDUZJFDW-DHODBPELSA-N
3894848,C1=C(C(=CC(=C1Cl)[N+](=O)[O-])O)N,ZARYBZGMUVAJMK-UHFFFAOYSA-N
4890,C1CC1CN2C(=O)CN=C(C3=C2C=CC(=C3)Cl)C4=CC=CC=C4,MWQCHHACWWAQLJ-UHFFFAOYSA-N
7022,C1=CC(=CC2=C(C=C(C=C21)S(=O)(=O)O)O)N,HBZVNWNSRNTWPS-UHFFFAOYSA-N
29872,C1=CC2=C(C(=C1)Cl)N=C(S2)N,OEQQFQXMCPMEIH-UHFFFAOYSA-N
6633,CC1=CC=C(C=C1)S(=O)(=O)NC2CCCCC2,DKYVVNLWACXMDW-UHFFFAOYSA-N
5842000,COP(=O)(OC)O/C(=C/Cl)/C1=CC(=C(C=C1Cl)Cl)Cl,UBCKGWBNUIFUST-BJMVGYQFSA-N
16741,C1=CC=C(C=C1)CCN=C=S,IZJDOKYDEWTZSO-UHFFFAOYSA-N
21013,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O,RULKYXXCCZZKDZ-UHFFFAOYSA-N
5281873,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C(/C(F)(F)F)\Cl)C,ZXQYGBMAQZUVMI-UNOMPAQXSA-N
16682740,CCCC[Sn](CCCC)(OC(=O)C)OC(=O)C,JJLKTTCRRLHVGL-UHFFFAOYSA-L
5364713,CCCCCCCC/C=C\CCCCCCCCOCCO,KWVPFECTOKLOBL-KTKRTIGZSA-N
61100,C1=CC=C(C=C1)CCNN.OS(=O)(=O)O,RXBKMJIPNDOHFR-UHFFFAOYSA-N
2734223,CCCCCCCCN1C=C[N+](=C1)C.[Cl-],OXFBEEDAZHXDHB-UHFFFAOYSA-M
36159,C1=CC(=C(C=C1Br)Br)OC2=CC(=C(C=C2Br)Br)Br,WHPVYXDFIXRKLN-UHFFFAOYSA-N
171144,CCCCCCCCCCCCC1=CC=CC=C1O,CYEJMVLDXAUOPN-UHFFFAOYSA-N
40301,C1=CC=C(C=C1)C2=CSC(=N2)N.O.Br,SBVYKOGRUCDICV-UHFFFAOYSA-N
99953,CCCCCCCCCOCC1CO1,KEKXMAURKVLACV-UHFFFAOYSA-N
11859,C1=C(C=C(C(=C1Cl)Cl)Cl)O,GBNHEBQXJVDXSW-UHFFFAOYSA-N
7472,CN(C)C1=CC=C(C=C1)N,BZORFPDSXLZWJF-UHFFFAOYSA-N
627458,COC1=C(C=CC(=C1)Cl)OC2=C(C=C(C=C2)Cl)Cl,NLYDHBBTVWMLFD-UHFFFAOYSA-N
41022,CC(=O)O.C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,RKXNZRPQSOPPRN-UHFFFAOYSA-N
1910825,CCCCN(CCCC)C1=CC(=C(C=C1)C(=O)C2=CC=CC=C2C(=O)O)O,QPNFUBAIQZJEPO-UHFFFAOYSA-N
22571,CCCCC(CC)COC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N,FMJSMJQBSVNSBF-UHFFFAOYSA-N
7062,CCN(CC)C1=CC(=CC=C1)O,WAVOOWVINKGEHS-UHFFFAOYSA-N
10474,[C-]#N.[C-]#N.[K+].[Ag+],HKSGQTYSSZOJOA-UHFFFAOYSA-N
50516,CC(C)C(C(=O)OC(C#N)C1=CC(=CC=C1)OC2=CC=CC=C2)NC3=C(C=C(C=C3)C(F)(F)F)Cl,INISTDXBRIBGOC-UHFFFAOYSA-N
21622,COC1=C2C(=CC=C1)SC(=N2)N,YEBCRAVYUWNFQT-UHFFFAOYSA-N
22086,COC1=C(C=C2C(=C1)C3=CC=CC=C3O2)N,SGQVWNYSHWQNOS-UHFFFAOYSA-N
26633,CCN(CC)C(=S)[S-].CCN(CC)C(=S)[S-].[Zn+2],RKQOSDAEEGPRER-UHFFFAOYSA-L
700999,C1=CC=C(C=C1)NC(=S)NC2=CC=CC=C2,FCSHMCFRCYZTRQ-UHFFFAOYSA-N
5993,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,BIWJNBZANLAXMG-UHFFFAOYSA-N
5273621,COC1=CC(=O)OC(=C1)/C=C/C2=CC=CC=C2,DKKJNZYHGRUXBS-BQYQJAHWSA-N
27582,C1=CC(=C(C(=C1O)Cl)Cl)Cl,HSQFVBWFPBKHEB-UHFFFAOYSA-N
2723754,C1CCC2=NC3=CC=CC=C3C(=C2C1)N.Cl,ZUFVXZVXEJHHBN-UHFFFAOYSA-N
15588,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)O)C(=O)O)[N+](=O)[O-],YVJPMMYYRNHJAU-UHFFFAOYSA-N
7546,C1=CC=C(C=C1)NC2=CC(=CC=C2)O,NDACNGSDAFKTGE-UHFFFAOYSA-N
18360,CC(C)(C)C1=CC=C(C=C1)OCC2CO2,HHRACYLRBOUBKM-UHFFFAOYSA-N
6537506,C1=C(C(=C(C(=C1Br)Br)Br)Br)OC2=CC(=C(C(=C2Br)Br)Br)Br,ORYGKUIDIMIRNN-UHFFFAOYSA-N
6439929,C/C=C\1/C(=O)C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,WDXRGPWQVHZTQJ-AUKWTSKRSA-N
1548943,CC(C)/C=C/CCCCC(=O)NCC1=CC(=C(C=C1)O)OC,YKPUWZUDDOIDPM-SOFGYWHQSA-N
95170,C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br,XYBSIYMGXVUVGY-UHFFFAOYSA-N
11080,C1=CC=C2C(=C1)C=CC=C2N=C=S,JBDOSUUXMYMWQH-UHFFFAOYSA-N
2391,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,KHOITXIGCFIULA-UHFFFAOYSA-N
11852,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)O,SVHOVVJFOWGYJO-UHFFFAOYSA-N
6319,C1=CC=C(C=C1)NC2=CC=C(C=C2)NC3=CC=CC=C3,UTGQNNCQYDRXCH-UHFFFAOYSA-N
6828,CCN(C1=CC=CC=C1)C(=O)N(CC)C2=CC=CC=C2,PZIMIYVOZBTARW-UHFFFAOYSA-N
7102,C1=CC=C(C=C1)C2=CC=C(C=C2)N,DMVOXQPQNTYEKQ-UHFFFAOYSA-N
2482,CCCCOC(=O)C1=CC=C(C=C1)N,IUWVALYLNVXWKX-UHFFFAOYSA-N
2406,C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl,JFIOVJDNOJYLKP-UHFFFAOYSA-N
54891,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3=CC=CC=C3C[C@H]2C(=O)O.Cl,IBBLRJGOOANPTQ-JKVLGAQCSA-N
8442,CCCCCCCCS(=O)C(C)CC1=CC2=C(C=C1)OCO2,ATTZFSUZZUNHBP-UHFFFAOYSA-N
3068143,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC.Cl.Cl,JROGBPMEKVAPEH-GXGBFOEMSA-N
533728,CCN(CC)C(=S)[S-].[Na+],IOEJYZSZYUROLN-UHFFFAOYSA-M
10452,C1CSCCS1,LOZWAPSEEHRYPG-UHFFFAOYSA-N
17593,CC1=C(C(=CC=C1)N)N,AXNUJYHFQHQZBE-UHFFFAOYSA-N
33934,CC(C)CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC(C)C,IJFPVINAQGWBRJ-UHFFFAOYSA-N
7112,C1=CC(=CC=C1C2=CC=C(C=C2)O)O,VCCBEIPGXKNHFW-UHFFFAOYSA-N
62130,CCN1C2=C(C=C(C=C2)N)C3=CC=CC=C31.Cl,UUYSTZWIFZYHRM-UHFFFAOYSA-N
146540,C1=CC=C(C=C1)CNN.Cl.Cl,MSJHOJKVMMEMNX-UHFFFAOYSA-N
20240,CC(C)COC(=O)C1=CC=C(C=C1)O,XPJVKCRENWUEJH-UHFFFAOYSA-N
13622,COC1=CC=CC(=C1O)O,LPYUENQFPVNPHY-UHFFFAOYSA-N
6670,C1=CC=C2C(=C1)C=CC(=C2S(=O)(=O)O)N,GWIAAIUASRVOIA-UHFFFAOYSA-N
13297,C1=CC=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O,MRQIXHXHHPWVIL-UHFFFAOYSA-N
197873,C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.Cl,PBBGTVBGXBUVLT-UHFFFAOYSA-N
10891,CC1=CC=C(C=C1)N.Cl,JQKBUTDZZRGQDR-UHFFFAOYSA-N
25015,C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O,MEHHPFQKXOUFFV-OWSLCNJRSA-N
14138,CCCCCCCOC(=O)C1=CC=C(C=C1)O,ZTJORNVITHUQJA-UHFFFAOYSA-N
83050,C1=CC=C(C=C1)C(=O)C2=CC(=CC=C2)O,SHULEACXTONYPS-UHFFFAOYSA-N
8570,COC1=CC(=C(C=C1)C(=O)C2=C(C=C(C=C2)OC)O)O,SODJJEXAWOSSON-UHFFFAOYSA-N
17569,CCCCCCCCCCCCOC(=O)C1=CC=C(C=C1)O,BAYSQTBAJQRACX-UHFFFAOYSA-N
56638112,COC1=CC(=C(C=C1)C(=O)C2=CC(=CC=C2)O)OC,YKEXNVPSARYZDR-UHFFFAOYSA-N
69150,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)O)O,RXNYJUSEXLAVNQ-UHFFFAOYSA-N
23019,CCCCCOC(=O)C1=CC=C(C=C1)O,ZNSSPLQZSUWFJT-UHFFFAOYSA-N
6620,CC1=C(C=CC(=C1)C(C)(C)C2=CC(=C(C=C2)O)C)O,YMTYZTXUZLQUSF-UHFFFAOYSA-N
608116,CC(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,HCNHNBLSNVSJTJ-UHFFFAOYSA-N
6619,CC(C)(C1=CC(=C(C(=C1)Cl)O)Cl)C2=CC(=C(C(=C2)Cl)O)Cl,KYPYTERUKNKOLP-UHFFFAOYSA-N
84677,C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)O)O,OWEYKIWAZBBXJK-UHFFFAOYSA-N
102724,C1CC2C(C1)C3CC2CC3(C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,WWCSTJWKTAXUGJ-UHFFFAOYSA-N
8633,CC1CCC(C(C1)OC(=O)C2=CC=CC=C2N)C(C)C,SOXAGEOHPCXXIO-UHFFFAOYSA-N
21881620,CC1=CC=C(C=C1)/C=C/2\C3CCC(C2=O)C3(C)C,VFTURGJPQCAITG-JLHYYAGUSA-N
17321,CC1=CC2=C(C=C1)C3=CC=CC=C3C=C2,KANLOADZXMMCQA-UHFFFAOYSA-N
3015167,CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],QVBRLOSUBRKEJW-UHFFFAOYSA-M
22678982,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.C(F)(F)(F)S(=O)(=O)[O-],WYNCDLDEWVNKJX-UHFFFAOYSA-M
12040509,CCCCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,ZYVGZWFCGPUVSH-UHFFFAOYSA-N
11461044,[B-](F)(F)(F)F.CCCCCCCCCCN1C=C[N+](=C1)C,QGUMDWFYJYXDTH-UHFFFAOYSA-N
22239085,CCCCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],YFLIZKWXKVXRES-UHFFFAOYSA-M
53316407,CCCCCCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,RJCNRVFKCLDBEC-UHFFFAOYSA-N
2734227,CCCCCCCCCCCCN1C=C[N+](=C1)C.[Cl-],OPXNHKQUEXEWAM-UHFFFAOYSA-M
10250129,CCCCCCCCCCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,MPHALGYBTKGJEV-UHFFFAOYSA-N
2734231,CCCCCCCCCCCCCCCCN1C=C[N+](=C1)C.[Cl-],ZCPPLZJPPBIWRU-UHFFFAOYSA-M
16211009,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,LAGQNGWYNLUQRI-UHFFFAOYSA-N
2734239,CCCCCC[N+]1=CC=CC=C1.[Br-],SZRSEFNUSHACPD-UHFFFAOYSA-M
2734172,CCCCCC[N+]1=CC=CC=C1.[Cl-],JEOSMYVMLZTQOH-UHFFFAOYSA-M
7490,CN(C)C1=CC=C(C=C1)N(C)C,CJAOGUFAAWZWNI-UHFFFAOYSA-N
13619,C1=C(C=C(C(=C1O)Cl)Cl)Cl,WWGQHTJIFOQAOC-UHFFFAOYSA-N
6929,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CO,HNURKXXMYARGAY-UHFFFAOYSA-N
9958,CC1=CC(=C(C=C1)O)O,ZBCATMYQYDCTIZ-UHFFFAOYSA-N
5935,CN(CCCl)CCCl.Cl,QZIQJVCYUQZDIR-UHFFFAOYSA-N
7192,CCOC1=CC2=C(C=C1)N=C(S2)N,KOYJWFGMEBETBU-UHFFFAOYSA-N
9414,CC1=CC(=CC(=C1N(C)C)C)OC(=O)NC,YNEVBPNZHBAYOA-UHFFFAOYSA-N
7543,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)Cl)Cl)N,IBOFVQJTBBUKMU-UHFFFAOYSA-N
28207,CCOC1=C(C=C(C=C1)NC(=O)C)N,XTXFAVHDQCHWCS-UHFFFAOYSA-N
5366546,CC(C)OC(=O)/C=C(\C)/C=C/CC(C)CCCC(C)(C)OC,NFGXHKASABOEEW-LDRANXPESA-N
22833294,CC1(C(=C)[C@@]2(C([C@]1(C(C2(Cl)Cl)(Cl)Cl)Cl)Cl)Cl)C,HBQPGVWPSQGTJK-TWELXNIESA-N
67349,C[Si](C1=CC=CC=C1)(C2=CC=CC=C2)Cl,OJZNZOXALZKPEA-UHFFFAOYSA-N
9324,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)CC[C@]34C)Cl)C)OC(=O)C,QMBJSIBWORFWQT-DFXBJWIESA-N
11112,C1=CC(=CN=C1)C(=O)NN,KFUSANSHCADHNJ-UHFFFAOYSA-N
20250,C1=CC(=C(C=C1Cl)Cl)C(=O)CCl,VYWPPRLJNVHPEU-UHFFFAOYSA-N
5284369,C1=CC=C(C=C1)/C=C/COC(=O)C2=CC=CC=C2N,GABQNAFEZZDSCM-RMKNXTFCSA-N
11830,C1=CC2=C(C(=C1)[N+](=O)[O-])N=CC=C2,OQHHSGRZCKGLCY-UHFFFAOYSA-N
197835,CN1CCC2=CC3=C(C=C2[C@@H]1[C@@H]4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OCO3,JZUTXVTYJDCMDU-MOPGFXCFSA-N
7264,CC1=CC(=C(C=C1)O)N,ZMXYNJXDULEQCK-UHFFFAOYSA-N
11460221,[B-](F)(F)(F)F.CCCCCCCCN1C=C[N+](=C1)C,GXZCAMSPWNHTAE-UHFFFAOYSA-N
11375816,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],JCQGIZYNVAZYOH-UHFFFAOYSA-M
4616,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,ADIMAYPTOBDMTL-UHFFFAOYSA-N
10236,C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,FEMOMIGRRWSMCU-UHFFFAOYSA-N
16212746,CCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],BCVMAYRUJBXMAP-UHFFFAOYSA-M
2336,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,FMMWHPNWAFZXNH-UHFFFAOYSA-N
8407,C1=CC=C(C=C1)NC2=CC=CC=C2[N+](=O)[O-],RUKISNQKOIKZGT-UHFFFAOYSA-N
9158,C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1,HAXBIWFMXWRORI-UHFFFAOYSA-N
329983,CC1CCC2=C(C1)OC=C2C,YGWKXXYGDYYFJU-UHFFFAOYSA-N
7097,CC(=O)OC(C1=CC=C(O1)[N+](=O)[O-])OC(=O)C,HSXKWKJCZNRMJO-UHFFFAOYSA-N
13436,C1=CC=C(C=C1)SSC2=CC=CC=C2,GUUVPOWQJOLRAS-UHFFFAOYSA-N
2734175,CCCCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,YPWSSSRXUOQNMQ-UHFFFAOYSA-N
7331,COC1=C(C=C(C=C1)C(=O)NC2=CC=CC=C2)[N+](=O)[O-],YKOCPBMVMBUTAX-UHFFFAOYSA-N
6815,CCCC(C1=CC(=C(C=C1C)O)C(C)(C)C)C2=CC(=C(C=C2C)O)C(C)(C)C,PFANXOISJYKQRP-UHFFFAOYSA-N
