row_idx,inchikey,name,std_smiles
20,ROJMQXCYXDRWHC-UHFFFAOYSA-N,OADMET-0006069,CC(C)Oc1ccccc1CC(=O)NC1CCN(Cc2ccccc2)C1=O
21,BGLWONKREUIIKI-KGLIPLIRSA-N,OADMET-0006068,O=C1CCCN1[C@H]1CCCC[C@H]1c1nc(-c2cnn(CCF)c2)no1
22,DNZPCMOEYFFPAU-UHFFFAOYSA-N,OADMET-0006067,COc1cc(NCCNC(=O)c2cnn3c2NCCC3)cc(OC)c1
23,UBNROXQETPKCQA-UHFFFAOYSA-N,OADMET-0006066,O=C(NCc1c[nH]c(=O)c2ccccc12)N1CC2(CC=CC2)C1c1ccccc1
24,WVPKQSARPDHRAD-IRXDYDNUSA-N,OADMET-0006065,Cc1cc(C(=O)N2C[C@@H]3C[C@H]2CN3C(=O)C2CC3(CCC3)C2)c(C)cc1Cl
25,SYVJHMPDJJFDRK-UHFFFAOYSA-N,OADMET-0006064,CC(C)(C)OC(=O)N1CC2(CCCC2)CCC1CN1CCCN(C(N)=O)CC1
26,UUGQEDCVVLEROS-UHFFFAOYSA-N,OADMET-0006063,CCc1nn(Cc2cccc3c2CCOC3)c(=O)c(C#N)c1CC
27,ZSQYQIZKFAWRCS-QIAUWCJISA-N,OADMET-0006062,O=C(NS(=O)(=O)C1C[C@@H]2CC[C@H]1C2)c1cnc2ccccc2c1
28,KEUZNBFJDOZPOO-UHFFFAOYSA-N,OADMET-0006061,Cc1nccn1-c1ncccc1CNC1CCCc2ccc(F)cc21
29,YANGTBYQVAXTID-GWCFXTLKSA-N,OADMET-0006060,CCn1ccnc1[C@H]1OCCC[C@@H]1NC(=O)c1ccc(Br)o1
30,YYFXEECPBGTJKS-UHFFFAOYSA-N,OADMET-0006059,CCC(=O)NC(C(=O)N1CC=C(c2cccs2)CC1)c1ccccc1
31,SGSASCZPSNQZLF-UHFFFAOYSA-N,OADMET-0006058,O=C(NC1(c2c(F)cccc2F)CCC1)C1CNCc2ccccc21
32,QMGSBJUKUOWVBD-UHFFFAOYSA-N,OADMET-0006057,CCOc1ccc(C(=O)N(C)CCc2ccc(O)c(OC)c2)cc1C
33,RTZOKKJMTNELOI-NVGCLXPQSA-N,OADMET-0006056,COC(=O)[C@H]1[C@H]2CC[C@H]2CN1C(=O)CCc1n[nH]c2ccccc12
34,WBHXCPAGPBKGKM-UHFFFAOYSA-N,OADMET-0006055,CC(C)Cn1cc(C(=O)N2CCCC2c2ccc3c(c2)OCO3)cn1
35,MQTDTRRNDDYNJE-UHFFFAOYSA-N,OADMET-0006054,Cc1cnn(C)c1S(=O)(=O)N(C)CCNc1ccccn1
36,KPBVWTBBIZQQMB-UHFFFAOYSA-N,OADMET-0006053,Cc1cccc(C2CCCN2C(=O)CCn2c(=O)n(C)c3ccccc32)n1
37,KIIWWHILTDEFGN-UHFFFAOYSA-N,OADMET-0006052,CCN1N=C(c2ccccc2)C(C(=O)Nc2ccccc2F)C1=O
38,QJMMPBIAVTYHDL-UHFFFAOYSA-N,OADMET-0006051,CCCOC1(c2noc(-c3cc(=O)[nH]c(C4CC4)n3)n2)CCCCC1
39,IAHAPVYVNHXHIE-UHFFFAOYSA-N,OADMET-0006050,O=C1NC(Cc2ccccn2)C(=O)N1CCc1cccc2cccnc12
40,ZERZLZZXKXXCBL-UHFFFAOYSA-N,OADMET-0006049,CC(Sc1nnc(-c2c[nH]c3ccccc23)o1)C(=O)NCC(F)(F)F
41,VMNRUUOJQZXLAD-UHFFFAOYSA-N,OADMET-0006048,CN(C)c1cccc(S(=O)(=O)N2CCN(c3cnccn3)CC2)c1
42,PGPIYOCNWBGPND-UHFFFAOYSA-N,OADMET-0006047,COc1ccc(CC(=O)NC(c2ccc(F)c(F)c2)C(C)(C)N2CCCC2)cc1
43,CPRHBKCTOAWEFB-UHFFFAOYSA-N,OADMET-0006046,CNC(=O)c1ncoc1C1C2CC1N(C(=O)Cc1ccc(Cl)cc1Cl)C2
44,BKPHMCGRZVPEJP-UHFFFAOYSA-N,OADMET-0006045,O=C(Cc1noc2ccccc12)NC1CCCN(Cc2ccc(F)cc2F)C1=O
45,UVHNSQVQSKRJEZ-UHFFFAOYSA-N,OADMET-0006044,C#CC(C)(C)N1CCN(S(=O)(=O)N2CC3CCC2C3)CC1
46,UCRHBKPSFYOVGC-UHFFFAOYSA-N,OADMET-0006043,O=C1CCCN1CC(NCc1n[nH]c2ccccc12)c1ccccc1
47,ZQAKGSVEKPICRX-UHFFFAOYSA-N,OADMET-0006042,COC1(C)CCCN(C(=O)c2ncccc2NCC2CCC2)CC1
48,HRBHCRJOSKLRMT-UHFFFAOYSA-N,OADMET-0006041,COc1ccc2nc(C(=O)N(C)CCc3ccc(F)cc3)ccc2c1
49,VUXYZGCEIIUUDZ-UHFFFAOYSA-N,OADMET-0006040,CCOC(=O)c1c(NC(=O)CN(C)Cc2ccon2)sc(C(N)=O)c1C
50,LDZQHKRZLLIRPS-UHFFFAOYSA-N,OADMET-0006039,O=C(c1ccc(-c2nc3ccccc3s2)o1)N1CCCC(N2CCNC2=O)C1
51,SWDXCGHTPLNAIM-UHFFFAOYSA-N,OADMET-0006038,O=C1c2ccccc2CN1CC(=O)N1CCCC1c1nc2ccccc2s1
52,UPVJTKMLEIVOON-UHFFFAOYSA-N,OADMET-0006037,Cc1cccn2c(=O)cc(Cn3cc(C(O)c4ccccc4)nn3)nc12
53,MNSQIGLUBSMRDU-UHFFFAOYSA-N,OADMET-0006036,CC(C)Cn1cccc(-c2nc(-c3coc(C4CCC4)n3)no2)c1=O
54,PXDJIFZYVGXGOK-UHFFFAOYSA-N,OADMET-0006035,N#Cc1ccc(CCSc2ccc(C(=O)N3CCCC3)cn2)cc1
55,KCZICMZTYDWCSD-UHFFFAOYSA-N,OADMET-0006034,CC1(NC(=O)c2ccc(=O)n(-c3ccccc3)n2)CCCCC1
56,BAYGUZHFVADHGJ-UHFFFAOYSA-N,OADMET-0006033,CC1c2c(F)cccc2CCN1C(=O)Nc1ccc(-n2cccn2)nc1
57,VMXKQIBOTHZOBO-UHFFFAOYSA-N,OADMET-0006032,CON(C)C(=O)c1cc(-c2cccnc2)nc2c1cnn2Cc1ccco1
58,DDVFJGHISNZQGV-UHFFFAOYSA-N,OADMET-0006031,CC(C)(C)OC(=O)NCc1cc(-c2nc(-c3cnc4cnccn34)no2)ccn1
59,DYGIIYMCZAKMPG-UHFFFAOYSA-N,OADMET-0006030,CC1(C)CN(c2cc(-c3ccccc3)nc3ncnn23)CC2(CCOC2)O1
60,WHDXTIYNDFZHQH-UHFFFAOYSA-N,OADMET-0006029,Cc1c(CNC(=O)C(c2ccccc2)N2CCC(O)CC2)oc2ccc(F)cc12
61,IVHIKZSVNCUIHI-UHFFFAOYSA-N,OADMET-0006028,Cc1cc(C(=O)NC2(c3ccccn3)CC2)nn1-c1cccc(Cl)c1
62,WBEWFHFPLNKWBR-UHFFFAOYSA-N,OADMET-0006027,COCc1cc(Cn2cc(C34CC5CC(CC(C5)C3)C4)nn2)no1
63,LTMANJCKIQTGMX-UHFFFAOYSA-N,OADMET-0006026,O=C(Nc1cc2n(n1)CCCC2)c1cccc(C2CCOC2)c1
64,SMJMYQOFLCKRMZ-UHFFFAOYSA-N,OADMET-0006025,Cc1conc1CS(=O)(=O)N(C)C(c1ccccc1)C(F)(F)F
65,POYGBIYUXHAYBE-KGLIPLIRSA-N,OADMET-0006024,Cc1ccc(N(C)C(=O)[C@H]2C[C@@H]2c2ccc(OC(F)F)cc2)nn1
66,SZZLKRQAXOFUMK-UHFFFAOYSA-N,OADMET-0006023,CCc1ccc(C2COCCN2S(=O)(=O)c2ccc3c(c2)C(C)(C)C(=O)N3)o1
67,AKPICNNHENFEJI-UHFFFAOYSA-N,OADMET-0006022,Cn1nccc1C12CCC(C1)C2C(=O)NCCCc1c[nH]nc1C(F)(F)F
68,NWBGOPRZTXBCAE-UHFFFAOYSA-N,OADMET-0006021,Cc1cccc2cc(C(=O)N3CCCN(S(C)(=O)=O)CC3)oc12
69,MZKLXLYUAIOWDB-UHFFFAOYSA-N,OADMET-0006020,CC1(c2nc(-c3csc(C(F)(F)F)c3)no2)CCNC(=O)C1
70,SGKBXHPHSYQSKW-UHFFFAOYSA-N,OADMET-0006019,O=C(NCCc1c[nH]c2cc(F)ccc12)C1COc2ccccc21
71,VVHDDUIJNWYKBB-UHFFFAOYSA-N,OADMET-0006018,Cc1ccc(CNC(=O)N2CCCN(S(C)(=O)=O)CC2)nc1C
72,DHEGFMBLMICECU-UHFFFAOYSA-N,OADMET-0006017,COc1ccc2nc(CN3CCCC(N4CCCC4=O)CC3)sc2c1
73,MUTOCWGPGGYZQF-UHFFFAOYSA-N,OADMET-0006016,CC(C)c1ncncc1C(=O)Nc1nc2ccc(S(=O)(=O)N3CCCC3)cc2s1
74,VXLPXEUDXOBHBR-UHFFFAOYSA-N,OADMET-0006015,CCn1c(=O)[nH]c(=O)c2c(C(=O)Nc3cc(-c4ccco4)nn3C)cc(C3CC3)nc21
75,QQKLPEZLVTYEBT-UHFFFAOYSA-N,OADMET-0006014,Cc1noc(C)c1-c1cn(C(C(=O)N(C)C)c2ccccc2)nn1
76,ZQFYYXLJVMCABY-UHFFFAOYSA-N,OADMET-0006013,NS(=O)(=O)N1CCCN(c2nc(-c3ccncc3)nc3ccccc23)CC1
77,PIYVGEPVPSFHHI-UHFFFAOYSA-N,OADMET-0006012,CCC(NC(CO)Cc1ccc(F)cc1)c1ccccc1F
78,WEJSVIZWRDHEEW-UHFFFAOYSA-N,OADMET-0006011,c1ccc(-c2cc(NC3COC(C4CC4)C3)n3nccc3n2)cc1
79,ZPLFKRBKLDLARZ-UHFFFAOYSA-N,OADMET-0006010,CCn1c(-c2cc(C)oc2C)nnc1N(C)CCCSC
80,BRJQPXHVMBFKHF-UHFFFAOYSA-N,OADMET-0006009,COc1ccc2c(c1)CC(c1nnc(-c3ccccc3F)o1)CO2
81,KTRFMBNZWVWXQT-UHFFFAOYSA-N,OADMET-0006008,CCc1nocc1Cn1cc(-c2ccccc2OC)nn1
82,GNBBTCYKQSSFLT-UHFFFAOYSA-N,OADMET-0006007,O=C(CN1CCN(C(=O)c2cccc(F)c2)CC1)NCCc1nc2ccccc2s1
83,CRNAAZGXZRHCCN-UHFFFAOYSA-N,OADMET-0006006,CC(c1cccc(S(N)(=O)=O)c1)N(C)C(=O)CN1C(=O)CCOc2ccccc21
84,DTRQURFJVCJMJR-UHFFFAOYSA-N,OADMET-0006005,CNC(=O)C(NC(=O)c1cc(C)ccc1O)c1ccccc1
85,BPGJAWLUTONTJI-UHFFFAOYSA-N,OADMET-0006004,O=C(C1CCCN(c2ncccc2C(F)(F)F)C1)N1CCC2(CC1)OCCO2
86,KCGMBWVZWPBPSF-PVQCJRHBSA-N,OADMET-0006003,CCCCC(=O)N1CSCC1C(=O)N1CCC[C@]1(C)C(=O)OC
87,KFKHLPTZWBHJOA-UHFFFAOYSA-N,OADMET-0006002,Cc1ccccc1C(C)Cc1nc(-c2ncoc2C)no1
88,WDSKMZFCMRRIMY-UHFFFAOYSA-N,OADMET-0006001,CC1(C(=O)Nc2ncn(Cc3ccc(Cl)cc3)n2)CCCN(C(=O)c2ccccc2)C1
89,KMTIPWBQZBWWMR-UHFFFAOYSA-N,OADMET-0006000,O=C(NCC1(c2cccc(Cl)c2)CCOCC1)C(O)C1CCCCC1
90,NJZGQVIBLMPPCR-UHFFFAOYSA-N,OADMET-0005999,Cc1csc(C(O)(CC(=O)N2CCC(c3ccccc3C)CC2)C(F)(F)F)n1
91,NGLQWYBBWZPWAG-UHFFFAOYSA-N,OADMET-0005998,CNC(=O)c1ccc(CN(C)C(=O)NC2CCCN(c3cccc(F)c3)C2)cc1
92,QUBDEYFKIBCNDL-UHFFFAOYSA-N,OADMET-0005997,CCN(Cc1ccc2c(c1)OCO2)C(=O)NCc1nnc2n1CCCCC2
93,QWDKJZBBOMAQCR-UHFFFAOYSA-N,OADMET-0005996,CN(C)C(=O)C(Cc1ccccc1)NCc1cccc2[nH]ccc12
94,ZHLGLFRMXKKERX-UHFFFAOYSA-N,OADMET-0005995,CC(C)(C)c1ccc(Cl)cc1NC(=O)c1ccn(C2CCOCC2)n1
95,JOFUTBDMKVMOOU-CALCHBBNSA-N,OADMET-0005994,C=C1CC(C)(C(=O)N[C@H]2CCCCC[C@H]2NC(=O)C2(C)CC(=C)C2)C1
96,MZCSBMOLDFPPDR-UHFFFAOYSA-N,OADMET-0005993,Cn1c(-c2nc(C3(c4ccc(F)cc4)CCC3)no2)cccc1=O
97,BLHWMBAQHCSKAB-UHFFFAOYSA-N,OADMET-0005992,COc1cc(C(=O)Nc2cc(C(F)(F)F)n(C)n2)ccc1C
98,DHIYDXIHBDUGDX-UHFFFAOYSA-N,OADMET-0005991,COc1ccc2[nH]nc(NC(=O)C3(c4ccccc4)CCCO3)c2c1
99,LHKGPFMICWFOOM-UHFFFAOYSA-N,OADMET-0005990,CC(=O)NCc1ccc(-c2csc(C3CCCN(C(C)=O)C3)n2)s1
100,GGVQQOGVQIQAAR-UHFFFAOYSA-N,OADMET-0005989,COc1ncccc1C(=O)NC1(c2ccccc2F)CC1
101,GDPHPXILXSNLGE-UHFFFAOYSA-N,OADMET-0005988,CSc1cc2c(cc1NC(=O)N1CCCC3(CCOCC3)C1)OCCO2
102,DPFVVBQNKCDSNR-UHFFFAOYSA-N,OADMET-0005987,COC1CCCN(CC(=O)Nc2cccc(C(F)(F)F)c2)C1
103,MDPONAVVMIZZRN-UHFFFAOYSA-N,OADMET-0005986,CCOc1c(Cl)cc(C(=O)NC(C)c2noc(-c3ccccc3)n2)cc1OC
104,YQQUZYTYDNXBBK-UHFFFAOYSA-N,OADMET-0005985,C#Cc1ccnc(N(CC)C(=O)c2cccc(OCCOC)c2)c1
105,XRRIJYHEWNMUKI-UHFFFAOYSA-N,OADMET-0005984,O=C(c1c[nH]c2ncc(Br)cc12)N1CCCC(n2ccnc2)C1
106,CIGHAQKPZGPAPZ-UHFFFAOYSA-N,OADMET-0005983,CN(C)C(=O)C(OC(=O)c1c(F)cc(O)cc1F)c1ccccc1
107,SHQPGMVQISGZIU-UHFFFAOYSA-N,OADMET-0005982,CN(Cc1nnc(-c2cc3c(s2)CCCC3)o1)c1ccn(C)n1
108,LLVYAIQFSXAVCB-UHFFFAOYSA-N,OADMET-0005981,O=C(NCC1(c2ccccc2)CCCO1)c1ccc2[nH]cnc2c1
109,WJOWUCLGRHYEOJ-UHFFFAOYSA-N,OADMET-0005980,Cc1nn(C)c2nc(C3CC3)cc(C(=O)Nc3nccn(C)c3=O)c12
110,BUYMAJHNBJERSN-UHFFFAOYSA-N,OADMET-0005979,Cc1cc(Br)ccc1N(C)S(=O)(=O)c1cnn(C(C)C)c1
111,FWUMGTXLVMEXCH-UHFFFAOYSA-N,OADMET-0005978,Cc1cc(C)c(C(=O)N(Cc2cnn(C)c2)CC(C)C)c(C)n1
112,RFZQAMFBWRUMHG-UHFFFAOYSA-N,OADMET-0005977,O=C(Nc1nc(C2CC2)cs1)c1cn(CCc2ccccc2)nn1
113,ARYSIPZSJUJQCB-UHFFFAOYSA-N,OADMET-0005976,CC(C)(C)c1csc(C2CN(C(=O)c3cccc(C(=O)O)c3)CCO2)n1
114,SZZVSENBZVKFPD-UHFFFAOYSA-N,OADMET-0005975,O=C(Nc1ccc(F)nc1)N1CCC(Cc2ccc(F)cc2)C1
115,SEHXKWXUVBWHEP-UHFFFAOYSA-N,OADMET-0005974,COCCOc1cccc(C(=O)N(C)c2ccc(C(=O)OC)cc2)c1
116,BDZAPJZYPBDZIC-UHFFFAOYSA-N,OADMET-0005973,O=C(NCc1cccc(OC(F)(F)F)c1)NC1CC12CCOCC2
117,PKLDRYFSCQCPHA-UHFFFAOYSA-N,OADMET-0005972,COc1ccc2c(ccn2CC(=O)NCC2(N3CCOCC3)CCCCC2)c1
118,AWNNRELKBGVQLD-UHFFFAOYSA-N,OADMET-0005971,COc1ccccc1Nc1ncccc1C(=O)NCC1(C(N)=O)CCOCC1
119,HZWUFADRSQZKAQ-UHFFFAOYSA-N,OADMET-0005970,Cc1cnn(C2CCN(C(=O)NCC(C)c3ccc(F)cc3)C2)c1
120,OTSKWPLKWNHXNG-UHFFFAOYSA-N,OADMET-0005969,Cc1oc2ccccc2c1C(=O)N1CCC(Cc2nc3ccccc3[nH]2)CC1
121,FDQLURLBRFGFSN-UHFFFAOYSA-N,OADMET-0005968,CCc1nn(C)cc1NC(=O)C1CCN(c2ccccc2Cl)C1
122,VVXPMCBSWLQVDB-UHFFFAOYSA-N,OADMET-0005967,O=S1(=O)CCC2(CCCN(Cc3cnc(-c4ccccc4)o3)C2)C1
123,OJEODUWXYRVZBW-UHFFFAOYSA-N,OADMET-0005966,CC(Nc1cccc(NC(=O)CO)c1)c1nc(-c2ccccc2)no1
124,IESMTEBHJZXUGB-UHFFFAOYSA-N,OADMET-0005965,Cn1nnc(CNS(=O)(=O)c2ccc(C(C)(C)C)cc2)n1
125,UHXFCUVRFUJBRK-UHFFFAOYSA-N,OADMET-0005964,CC(c1nnnn1C)N1CCOC(c2ccc(Cl)c(Cl)c2)C1
126,RXKVFHONEONTJU-UHFFFAOYSA-N,OADMET-0005963,COc1ncc(C(=O)N2CCC2c2cccc(F)c2)cc1Cl
127,ZSNITEJMAJILMZ-UHFFFAOYSA-N,OADMET-0005962,Brc1ccc(C2(CNC(c3cccnc3)c3ncc[nH]3)CCOCC2)cc1
128,KLVAGSMAGSODNJ-UHFFFAOYSA-N,OADMET-0005961,COC(=O)c1cnc(NC2CCCCCN(C(=O)C3CCC3(F)F)C2)nc1
129,KRGLTLBSFNSYIX-UHFFFAOYSA-N,OADMET-0005960,Cc1ccnc2nc(C(=O)N(Cc3ccco3)C3CCCC3)nn12
130,NAIAIKDHWPXSMX-UHFFFAOYSA-N,OADMET-0005959,Cc1c(C(=O)N2CCCCC2CNC(=O)Nc2ccccc2)nnn1-c1ccc2ncccc2c1
131,SRIOJSYIMLYQTO-UHFFFAOYSA-N,OADMET-0005958,Cc1cc(NC(=O)C2(C)CCCO2)n(-c2cccc(Br)c2)n1
132,NTFPMYZCRLAQNU-UHFFFAOYSA-N,OADMET-0005957,O=C(CCc1ccccc1)N1CCCN(C(=O)C2COc3ccccc32)CC1
133,ADCRROSQMSVSQW-UHFFFAOYSA-N,OADMET-0005956,COc1cc(C)ccc1NC(=O)c1cccc(-c2ncn[nH]2)c1
134,NZCFNKKMNTYPTO-UHFFFAOYSA-N,OADMET-0005955,CC(C(=O)Nc1nccs1)N1CCCN(C(=O)c2ccccc2)CC1
135,UBIIWRLNZPDSLP-UHFFFAOYSA-N,OADMET-0005954,COc1cccc(C2CN(C(=O)CNC(=O)c3ccc(C)c(C)c3)CCO2)c1
136,QZHAZOKWZGQBMB-UHFFFAOYSA-N,OADMET-0005953,COCCOC1CC(CO)CN(S(=O)(=O)c2cc(F)ccc2C)C1
137,VXAHSNRRRRFAOC-UHFFFAOYSA-N,OADMET-0005952,O=C(Nc1ccc(C2CC2)nn1)NC1(c2cccc(OC(F)(F)F)c2)CC1
138,WBBFPYYHNXCEME-UHFFFAOYSA-N,OADMET-0005951,CCOC1CC(NC(=O)c2ccnc(-n3cccn3)c2)C12CCCC2
139,IAKDXTQWRJADOV-UHFFFAOYSA-N,OADMET-0005950,COCCNc1ccc(CNC(=O)N2CCCC3(CCCC3)CC2)cc1
140,HUKSAYDGYGOREM-UHFFFAOYSA-N,OADMET-0005949,Cn1cccc1C1CCCCN1C(=O)CCN1C(=O)COc2ccccc21
141,PPBPKFPLNHJZQP-UHFFFAOYSA-N,OADMET-0005948,COc1ccc(C)cc1S(=O)(=O)N1CC(O)CC1c1ccc(F)cc1
142,JUHHJSWYSQBLKA-AAFJCEBUSA-N,OADMET-0005947,c1cnc2c(c1)CCC[C@H]2n1cc(COC2CCCCO2)nn1
143,BXZMJBPCFDOLBY-UHFFFAOYSA-N,OADMET-0005946,Fc1cccc(Cl)c1CCc1noc(C2(n3cccn3)CC2)n1
144,FLGLJLFYXZSXAN-UHFFFAOYSA-N,OADMET-0005945,CCOc1ccccc1C(F)(F)C(=O)N1CCC(NC(=O)C2CC2)CC1
145,DLBAMDGUUSBSOH-UHFFFAOYSA-N,OADMET-0005944,O=C(CC1(N2CCOCC2)CCCC1)NCc1ccc2c(c1)OCCO2
146,FDCHJYMTWLORCR-UHFFFAOYSA-N,OADMET-0005943,Cc1c(C(=O)N2CCCN3c4ccccc4CC3C2)c(O)nc2ccccc12
147,VGUYAGDDPQYEDR-UHFFFAOYSA-N,OADMET-0005942,CC1CCCN(S(=O)(=O)c2cccc3c2OCC3)C1C(=O)O
148,ANIYYIHUSYIHTA-QGZVFWFLSA-N,OADMET-0005941,Cn1nc(CNC[C@@H](O)c2ccc(Cl)cc2)c2ccccc21
149,BRLQLLYRNCGYQA-UHFFFAOYSA-N,OADMET-0005940,CC(C)c1nc(C(=O)N2CCC=C(F)C2)nn1-c1ccccc1F
150,YEYJTFFWPRNDDN-UHFFFAOYSA-N,OADMET-0005939,Cn1ncc(NC(=O)N2CCCC(C)(F)C2)c1-c1ccccc1
151,PIDYXGYPPPDVSK-UHFFFAOYSA-N,OADMET-0005938,O=C(NCC1CCOc2ccccc21)N1CCOC(c2ccccc2F)C1
152,JKRIYLHNKNNCLI-UHFFFAOYSA-N,OADMET-0005937,COC1CCCN(C(=O)C(Cc2ccccc2)NC(=O)c2cccnc2)CC1
153,NLFXGDZTBOGFOF-UHFFFAOYSA-N,OADMET-0005936,COc1cc(C#N)ccc1OCC(=O)N1CCCC1C1CCCC1O
154,QYMWPKHNWAHLGQ-UHFFFAOYSA-N,OADMET-0005935,CC(c1cc2ccccc2o1)N(C)C(=O)c1cn(C)nc1C(C)(C)C
155,LMVZEVSXKNSTRM-UHFFFAOYSA-N,OADMET-0005934,CN(Cc1ccoc1)c1ccc(S(=O)(=O)N2CCCC2)cc1
156,CGBYGXVQTISZDL-UHFFFAOYSA-N,OADMET-0005933,CC(NC(=O)N1CCC(C)C1CO)c1ccc(F)cc1Cl
157,APLGRJRASYSBPU-UHFFFAOYSA-N,OADMET-0005932,O=C(NCC(Cc1ccccc1)Cc1ccccc1)N1CCC(O)C(F)(F)C1
158,OYDWAOGEMLXOFA-UHFFFAOYSA-N,OADMET-0005931,Cc1ccccc1C1(C(=O)N2CCCC(O)(c3c[nH]nn3)C2)CCCC1
159,BNNFBPNFAMGGLK-UHFFFAOYSA-N,OADMET-0005930,Cc1cc(C(=O)N2CCCN(S(=O)(=O)N(C)C)CC2)nn1-c1ccc(Cl)cc1Cl
160,MGOHCICCVHEFCY-UHFFFAOYSA-N,OADMET-0005929,O=C(Nc1ccnc(Oc2ccc(F)cc2F)c1)N1CCC2CCCC21
161,OAFJFDNNQRLAAJ-UHFFFAOYSA-N,OADMET-0005928,CC(O)C(C)(CNC(=O)C1CCCN1C)Cc1ccccc1
162,RBHWHOHULGCWMO-UHFFFAOYSA-N,OADMET-0005927,COc1ccc(CCCNC(=O)N2C(C)CCC2C)cc1OC
163,JZAYQUDZVKTFDV-UHFFFAOYSA-N,OADMET-0005926,Cn1nnc2cc(C(=O)N(CC3CCCCC3)c3ccccn3)cnc21
164,QXVOLVUYUUILGN-UHFFFAOYSA-N,OADMET-0005925,Cc1nc(C(F)(F)F)ccc1C(=O)N1CCCN(C(=O)C2CC2)CC1
165,GOOISOHGINHFOW-UHFFFAOYSA-N,OADMET-0005924,COc1cc(C(=O)N(Cc2ccccc2)C2CC(C)(C)OC2(C)C)on1
166,SQHFQMIXPHWDAZ-UHFFFAOYSA-N,OADMET-0005923,COc1cccc(CNC(=O)c2cccn(Cc3ccccc3)c2=O)n1
167,XQJWRASPVXYWPR-UHFFFAOYSA-N,OADMET-0005922,CCc1cc(NC(=O)c2coc3ccc(OC)cc23)n(C)n1
168,WPIPWESKVFABQC-UHFFFAOYSA-N,OADMET-0005921,CC(O)(Cn1ccccc1=O)C(=O)N1CCc2ccc(Cl)cc2C1
169,RZNHDDDRGHHFPN-UHFFFAOYSA-N,OADMET-0005920,COC(C(=O)N1CCN(S(=O)(=O)N(C)C2CCCCC2)CC1)C1CC1
170,UNHCREYKDRZLTQ-UHFFFAOYSA-N,OADMET-0005919,Cc1sc2ncn(NC(=O)COc3ccc(C(N)=O)cc3)c(=O)c2c1-c1ccccc1
