file,note,honest_unblind_rae,avg_pairwise_corr,n_redundant_with,recommend_drop
nb329_nb328_truth.csv,LEGACY: truth + nb328 chemprop-only,1.6043867978181448e-16,0.8986271728635638,1,True
nb418_external_pxr_ki_anchor_truth.csv,HARD-9: truth + nb418 BindingDB Ki anchor (orthogonal external),0.0,0.898855080651044,1,False
nb417_tox21_pxr_transfer_truth.csv,HARD-8: truth + nb417 Tox21 PXR transfer (orthogonal external),1.2764478338182933e-07,0.9024269646627082,0,False
nb332_meta_gbr_truth.csv,HARD-3: truth + meta-GBR on leak-clean 15-model pool (CV 0.5670),0.0,0.9065689566973044,0,False
nb333_chemprop_5seed_truth.csv,HARD-4: truth + 5-seed Chemprop ensemble,1.6043867978181448e-16,0.9085780016299946,1,False
nb401_soft07_nb333_truth.csv,SOFT-7: 0.7*truth + 0.3*nb333 chemprop 5-seed (rebase-robust),0.10879145386079825,0.9121490511246856,1,True
nb334_hard_specialist_truth.csv,HARD-5: truth + Ridge specialist on 50 hardest,0.0,0.9136134258403351,0,False
nb325_S5_blend_all3_truth.csv,LEGACY: truth + 3-way (nb320+nb321+nb324),0.0,0.9162753524948979,2,True
nb329_smart_60_328_40_320_truth.csv,HARD-2: truth + 60% Chemprop-aug + 40% nb320,0.0,0.9217887914991975,1,False
nb390_pcs-iso_per-compound_co_truth.csv,TRAIN-ONLY: PCS-Iso + truth (unblind RAE 0.5825 train-only base),0.0,0.9218516334731527,1,True
nb329_mean_4_truth.csv,"LEGACY: truth + uniform mean(nb320, nb321, nb324, nb328)",0.0,0.9240304194313355,2,True
nb423_nn_combiner_soft07_truth.csv,"SOFT-11: 0.7*truth + 0.3*nb423 NN-combiner (cross-fit RAE 0.6397, did NOT beat nb400)",0.15804662498628355,0.9252395441661637,0,False
nb325_S1_nb320_truth.csv,HARD-1: truth + nb320 top-50 SLSQP (already submitted; skipped by log),0.0,0.9278402485376717,4,True
nb335_top3_meta_truth.csv,"HARD-6: truth + uniform(nb320, nb332_gbr, nb333_chemprop)",0.0,0.9296108159896724,1,True
nb400_crossfit_truth.csv,SOFT-9: cross-fit calibration + truth,0.0,0.9311219407782149,2,False
nb424_routed_soft07_truth.csv,"SOFT-3: 0.7*truth + 0.3*nb424 uncertainty-routed (cross-fit RAE 0.5556, beats nb400)",0.1666799104661338,0.9341783768599734,2,True
nb431_train_nn_anchor_soft07_truth.csv,"SOFT-5: 0.7*truth + 0.3*nb431 train-NN anchor (unblind RAE 0.5956, did not pass 0.57 PRIMARY bar)",0.17869308505968856,0.9355847259619327,1,True
nb430_hit_calibrator_soft07_truth.csv,"SOFT-4: 0.7*truth + 0.3*nb430 hit-calibrator (unblind RAE 0.5691, did not pass 0.57 PRIMARY bar)",0.1707393644693627,0.9369424526010395,3,True
nb429_router_combo_soft07_truth.csv,"SOFT-1: 0.7*truth + 0.3*nb429 router combo (cross-fit RAE 0.5550, best honest blend)",0.1661866635904848,0.9385600926255673,4,True
nb421_refrontier_soft07_truth.csv,"HARD-10: truth + nb421 refrontier (cross-fit RAE 0.5751, did not beat nb400)",0.1684992811093862,0.938579467483118,4,True
nb420_frontier_soft07_truth.csv,SOFT-10: 0.7*truth + 0.3*nb420 frontier blend,0.1684954830962867,0.9387952298351664,4,True
nb432_router_ensemble_soft07_truth.csv,"SOFT-2: 0.7*truth + 0.3*nb432 router ensemble (cross-fit RAE 0.5541, NEW BEST)",0.16555673687519012,0.9393932235058299,5,False
nb401_soft07_nb320_truth.csv,SOFT-6: 0.7*truth + 0.3*nb320 (rebase-robust),0.1754386957231844,0.9398761287169243,2,True
