smiles,pxr,null,pxr_pap,fxr,pparg,lxra,rxra,vdr
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,5.14,2.74,5.11,,,,,
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,,,5.4,,,,,
C#Cc1ccc(/C=C2\C=C(CC(=O)O)c3cc(F)ccc32)cc1,,,,,5.96,,,
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,3.81,3.07,,,,,,
C#Cc1ccnc(N(CC)C(=O)c2cccc(OCCOC)c2)c1,4.82,2.11,,,,,,
C(=N\OCc1ccc(Oc2ccccc2)cc1)/c1c(-c2ccc3ccccc3c2)nc2occn12,,,5.96,,,,,
C(=N\OCc1ccccc1)/c1c(-c2ccc3ccccc3c2)nc2occn12,,,5.14,,,,,
C/C(=C(/F)C(=O)O)c1cc2cccc(-c3cc(C(C)C)cc(C(C)C)c3OCC(F)F)c2o1,,,,,,,7.33,
C/C(=C/C(=O)c1ccccc1)N[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)cc1)C(=O)O,,,,,9.55,,,
C/C(=C/C(F)=C/C(C)=C/C(=O)O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F,,,,,,,6.59,
C/C(=C/C=C(F)/C(C)=C/C(=O)O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F,,,,,,,6.82,
C/C(=C/C=C/C(C)=C(\F)C(=O)O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F,,,,,,,8.22,
C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cc(F)cc(F)c2)cc(C(C)C)c1OCC(F)F,,,,,7.985,,8.465,
C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccc(F)cc2)cc(C(C)C)c1OCC(F)F,,,,,8.195,,8.879999999999999,
C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccc(F)c2)cc(C(C)C)c1OCC(F)F,,,,,8.27,,8.705,
C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccccc2F)cc(C(C)C)c1OCC(F)F,,,,,8.370000000000001,,8.575,
C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccco2)cc(C(C)C)c1OCC(F)F,,,,,7.78,,8.48,
C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccs2)cc(C(C)C)c1OCC(F)F,,,,,8.075,,8.91,
C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)(F)F,,,,,,,7.835,
C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F,,,,,,,8.309999999999999,
C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCCCF,,,,,,,8.379999999999999,
C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)C)cc(-c2ccccc2)c1OCC(F)F,,,,,7.45,,7.7250000000000005,
C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)C)cc(C(C)C)c1OCC(F)(F)F,,,,,,,8.370000000000001,
C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)C)cc(C(C)C)c1OCC(F)F,,,,,,,8.85,
C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)C)cc(C(C)C)c1OCCF,,,,,,,8.4,
C/C(=C/CC/C(C)=C/CC/C(C)=C/Cc1occc1C)C(=O)O,,,,,4.78,,,
C/C(=C/c1cc(C(=O)O)no1)c1ccc2c(c1)C(C)(C)CCC2(C)C,,,,,,,5.38,
C/C(=C/c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,,,,,,,5.57,
C/C(=C/c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccc(C(=O)O)cc1,,,,,,,5.96,
C/C(=C/c1ccc2c(c1)C(C)(C)CCS2)c1ccc(C(=O)O)cc1,,,,,,,5.55,
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4c(Cl)cccn34)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,,,,,8.49,,,
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4c5c(ccn34)OCC5)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,,,,,7.68,,,
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4cc(Cl)ccn34)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,,,,,8.645,,,
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4cc(F)ccn34)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,,,,,8.33,,,
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4ccc(Cl)cn34)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,,,,,8.33,,,
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4ccccn34)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,,,,,8.0,,,
C/C(=C1/c2ccc(Cn3c(C4CC4)nc4c(Cl)ccnc43)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,,,,,7.5,,,
C/C(=C1/c2ccc(Cn3c(C4CC4)nc4c(Cl)nccc43)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,,,,,7.640000000000001,,,
C/C(=C1/c2ccc(Cn3c(C4CC4)nc4cscc43)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,,,,,8.1,,,
C/C(=C\C(=O)O)c1cc2c(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3C)cccc2s1,,,,,,,7.78,
C/C(=C\C(=O)O)c1cc2c(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3OCC(F)(F)F)cccc2s1,,,,,,,8.184999999999999,
C/C(=C\C(=O)O)c1cc2c(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3OCC(F)F)cccc2s1,,,,,,,7.77,
C/C(=C\C(=O)O)c1cc2c(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3OCCC(F)F)cccc2s1,,,,,,,7.975,
C/C(=C\C(=O)O)c1cc2c(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3OCCCF)cccc2s1,,,,,,,8.309999999999999,
C/C(=C\C(=O)O)c1cc2c(o1)CCCC2c1ccc2c(c1)C(C)(C)CCC2(C)C,,,,,,,7.22,
C/C(=C\C(=O)O)c1cc2cccc(-c3cc(C(C)C)cc(C(C)C)c3OCC(F)(F)F)c2o1,,,,,,,6.58,
C/C(=C\C(=O)O)c1cc2cccc(-c3cc(C(C)C)cc(C(C)C)c3OCC(F)F)c2o1,,,,,,,6.654999999999999,
C/C(=C\C(=O)O)c1cc2cccc(-c3cc(C(C)C)cc(C(C)C)c3OCCCF)c2o1,,,,,,,7.02,
C/C(=C\C(=O)O)c1ccc2[nH]cc(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3OCC(F)F)c2c1,,,,,,,7.19,
C/C(=C\C(=O)O)c1ccc2scc(-c3cc(C(C)C)cc(C(C)C)c3O)c2c1,,,,,,,6.359999999999999,
C/C(=C\C(=O)O)c1ccc2scc(-c3cc(C(C)C)cc(C(C)C)c3OCCCF)c2c1,,,,,,,5.890000000000001,
C/C(=C\C(=O)O)c1nc(-c2ccccc2)c(-c2ccccc2)o1,,,,,,,4.98,
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCCOc2ccc(/C=C/c3ccc(C(F)(F)F)cc3)cc2)cc1)C(=O)O,,,,,7.5,,,
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCCOc2ccc(/C=C/c3ccc(Cl)cc3)cc2)cc1)C(=O)O,,,,,7.92,,,
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCCOc2ccc(/C=C/c3ccccc3)cc2)cc1)C(=O)O,,,,,7.33,,,
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCCOc2ccc(/N=N/c3ccc(Cl)cc3)cc2)cc1)C(=O)O,,,,,7.33,,,
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCCOc2ccc(/N=N/c3ccc([N+](=O)[O-])cc3)cc2)cc1)C(=O)O,,,,,7.54,,,
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCCOc2ccc(/N=N/c3ccccc3)cc2)cc1)C(=O)O,,,,,5.86,,,
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCOc2ccc(/C=C/c3ccc(C(F)(F)F)cc3)cc2)cc1)C(=O)O,,,,,7.08,,,
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCOc2ccc(/C=C/c3ccc(C)cc3)cc2)cc1)C(=O)O,,,,,7.68,,,
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCOc2ccc(/C=C/c3ccc(Cl)cc3)cc2)cc1)C(=O)O,,,,,7.58,,,
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCOc2ccc(/C=C/c3ccccc3)cc2)cc1)C(=O)O,,,,,7.92,,,
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCOc2ccc(/N=N/c3ccc(Cl)cc3)cc2)cc1)C(=O)O,,,,,7.41,,,
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCOc2ccc(/N=N/c3ccccc3)cc2)cc1)C(=O)O,,,,,6.74,,,
C/C(=C\CC/C(C)=C/CC[C@]1(C)CCc2cc(O)cc(C)c2O1)CC/C=C(\C)C(=O)O,,,6.1850000000000005,,,,,
C/C(=C\CC/C(C)=C/CC[C@]1(C)CCc2cc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cc(C)c2O1)CC/C=C(\C)C(=O)O,,,4.77,,,,,
C/C(=C\CC[C@]1(C)CCc2cc(O)cc(C)c2O1)CC/C=C(\C)C(=O)O,,,,,7.08,,,
C/C(=C\COc1ccccc1Cc1c(C)n[nH]c1-c1ccc(-c2ccco2)cc1)CCC(=O)O,,,,,5.26,,,
C/C(=C\c1cc(C(=O)O)cs1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,,,,,,,6.6850000000000005,
C/C(=C\c1cc(C(=O)O)no1)c1ccc2c(c1)C(C)(C)CCC2(C)C,,,,,,,5.68,
C/C(=C\c1ccc(C(=O)O)cc1)c1cc2c(cc1Br)C(C)(C)CCC2(C)C,,,,,,,6.53,
C/C(=C\c1ccc(C(=O)O)cc1)c1cc2c(cc1C(C)C)C(C)(C)CCC2(C)C,,,,,,,6.51,
C/C(=C\c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,,,,,,,6.42,
C/C(=C\c1ccc(C(=O)O)cc1)c1cc2c(cc1Cl)C(C)(C)CCC2(C)C,,,,,,,6.56,
C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,,,,,,,5.0,
C/C(=C\c1ccc(C(=O)O)cn1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,,,,,,,6.98,
C/C(=C\c1ccc(C(=O)O)o1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,,,,,,,6.23,
C/C(=C\c1ccc(C(=O)O)s1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,,,,,,,7.71,
C/C(=C\c1ccc(C(=O)O)s1)c1ccc2c(c1)C(C)(C)CCC2(C)C,,,,,,,5.62,
C/C(=C\c1ccc2c(c1)N(S(=O)(=O)c1ccc(F)c(C(F)(F)F)c1)C[C@H](CCC(=O)O)O2)c1c(F)cccc1Cl,,,5.22,,,,,
C/C(=C\c1ccc2c(c1)N(S(=O)(=O)c1ccc(F)c(C3CC3)c1)C[C@H](CCC(=O)O)O2)c1c(F)cccc1Cl,,,5.17,,,,,
C/C(=C\c1ccc2c(c1)N(S(=O)(=O)c1cccc(C(F)(F)F)c1)C[C@H](CCC(=O)O)O2)c1ccccc1C,,,5.3,,,,,
C/C(=C\c1ccc2c(c1)N(S(=O)(=O)c1cccc(OC(F)F)c1)C[C@H](CCC(=O)O)O2)c1c(F)cccc1Cl,,,5.04,,,,,
C/C(=C\c1csc(C(=O)O)c1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,,,,,,,6.95,
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,,,4.7,,,,,
C/C(=C\c1nc(-c2ccccc2)c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)o1)C(=O)O,,,,,,,7.66,
C/C(=C\c1nc(-c2ccccc2)c(-c2ccccc2)o1)C(=O)O,,,,,,,6.03,
C/C(=C\c1nc(C(=O)O)c[nH]1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,,,,,,,7.05,
C/C(=C\c1ncc(C(=O)O)n1S(=O)(=O)N(C)C)c1cc2c(cc1C)C(C)(C)CCC2(C)C,,,,,,,7.23,
C/C(=C\c1ncc(C(=O)O)s1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,,,,,,,8.4,
C/C(=C\c1ncc(C(=O)O)s1)c1ccc2c(c1)C(C)(C)CCC2(C)C,,,,,,,6.68,
C/C(=N/OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccc(-c2ccccc2)nc1,,,,,6.72,,,
C/C(=N/OCCOc1cccc(CC2SC(=O)NC2=O)c1)c1ccc(-c2ccccc2)cc1,,,,,6.72,,,
C/C(=N/OCc1ccc(F)cc1)C(Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)cc1)C(=O)O,,,,,8.3,,,
C/C(=N\O)c1ccc(OC(Cc2ccccc2)C(=O)O)cc1,,,,,5.03,,,
C/C(=N\OCC(C)C)C(Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)cc1)C(=O)O,,,,,9.52,,,
C/C(=N\OCC1CC1)C(Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)cc1)C(=O)O,,,,,9.44,,,
C/C(=N\OCCCCO/N=C(/CCC(=O)O)c1ccccc1)c1ccc(C(F)(F)F)cc1,,,,,5.85,,,
C/C(=N\OCCCCO/N=C(/CCC(=O)O)c1ccccc1)c1ccc(C)c(C)c1,,,,,6.0,,,
C/C(=N\OCCCCO/N=C(/CCC(=O)O)c1ccccc1)c1ccc(C)cc1,,,,,5.68,,,
C/C(=N\OCCCCO/N=C(/CCC(=O)O)c1ccccc1)c1ccc(F)cc1,,,,,5.85,,,
C/C(=N\OCCCCO/N=C(/CCC(=O)O)c1ccccc1)c1ccc(S(C)(=O)=O)cc1,,,,,5.72,,,
C/C(=N\OCCCCO/N=C(/CCC(=O)O)c1ccccc1)c1ccc2c(c1)CCCC2,,,,,6.7,,,
C/C(=N\OCCCCO/N=C(/CCC(=O)O)c1ccccc1)c1ccc2ccccc2c1,,,,,6.7,,,
C/C(=N\OCCCCO/N=C(/CCC(=O)O)c1ccccc1)c1cccc(-c2ccccc2)c1,,,,,7.0,,,
C/C(=N\OCCF)C(Cc1ccc(OCCc2nc(-c3ccc(F)cc3)oc2C)cc1)C(=O)O,,,,,8.54,,,
C/C(=N\OCCF)C(Cc1ccc(OCc2nc(-c3ccc(F)cc3)oc2C)cc1)C(=O)O,,,,,8.11,,,
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccc(-c2ccccc2)cc1,,,,,6.4,,,
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccc(-c2ccccc2)cn1,,,,,5.96,,,
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccc(-c2ccccc2)nc1,,,,,6.72,,,
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccc(-c2ccccn2)cc1,,,,,6.19,,,
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccc(-c2cccnc2)cc1,,,,,6.1,,,
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccc(-c2ccncc2)cc1,,,,,5.8,,,
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1cccc(-c2ccccc2)c1,,,,,6.48,,,
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccc1,,,,,5.77,,,
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,,,,,5.55,,,
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1cccnc1,,,,,5.55,,,
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccncc1,,,,,5.1,,,
C/C(=N\OCc1cc(C(=O)O)ccc1C#N)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1Cl,,,,7.34,,,,
C/C(=N\OCc1cc(C(=O)O)ccc1C#N)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)c(C)c1,,,,6.36,,,,
C/C(=N\OCc1cc(C(=O)O)ccc1C#N)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)c(F)c1,,,,6.46,,,,
C/C(=N\OCc1cc(C(=O)O)ccc1C#N)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)cc1Cl,,,,7.44,,,,
C/C(=N\OCc1cc(C)cc(C(=O)O)c1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1Cl,,,,7.23,,,,
C/C(=N\OCc1cc(C)cc(C(=O)O)c1)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)c(C)c1,,,,6.28,,,,
C/C(=N\OCc1cc(C)cc(C(=O)O)c1)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)c(F)c1,,,,5.87,,,,
C/C(=N\OCc1cc(C)cc(C(=O)O)c1)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)cc1Cl,,,,6.8,,,,
C/C(=N\OCc1ccc(C(=O)O)cc1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1,,,,6.89,,,,
C/C(=N\OCc1ccc(C(=O)O)cc1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1Cl,,,,6.87,,,,
C/C(=N\OCc1ccc(C(=O)O)o1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1Cl,,,,7.3,,,,
C/C(=N\OCc1ccc(C(=O)O)o1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cn1,,,,5.86,,,,
C/C(=N\OCc1ccc(F)cc1)C(Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)cc1)C(=O)O,,,,,9.27,,,
C/C(=N\OCc1cccc(C(=O)O)c1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)c(Cl)c1,,,,6.59,,,,
C/C(=N\OCc1cccc(C(=O)O)c1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1,,,,6.75,,,,
C/C(=N\OCc1cccc(C(=O)O)c1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1Br,,,,7.43,,,,
C/C(=N\OCc1cccc(C(=O)O)c1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1C(F)(F)F,,,,6.71,,,,
C/C(=N\OCc1cccc(C(=O)O)c1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1Cl,,,,7.32,,,,
C/C(=N\OCc1cccc(C(=O)O)c1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1F,,,,7.25,,,,
C/C(=N\OCc1cccc(C(=O)O)c1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cn1,,,,6.63,,,,
C/C(=N\OCc1cccc(C(=O)O)c1)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)cc1Cl,,,,6.97,,,,
C/C(=N\OCc1ccccc1C(=O)O)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1Cl,,,,7.12,,,,
C/C(=N\OCc1cncc(C(=O)O)c1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1Cl,,,,7.19,,,,
C/C(=N\OCc1cncc(C(=O)O)c1)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)c(C)c1,,,,5.74,,,,
C/C(=N\OCc1cncc(C(=O)O)c1)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)c(F)c1,,,,6.14,,,,
C/C(=N\OCc1cncc(C(=O)O)c1)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)cc1Cl,,,,7.26,,,,
C/C(=N\OCc1nc(-c2ccc(C)cc2)oc1C)c1ccc(OCC(=O)O)c(C)c1,,,,,6.4,,,
C/C(=N\OCc1nc(-c2ccccc2)oc1C)c1ccc(OCC(=O)O)c(C)c1,,,,,6.52,,,
C/C(=N\OCc1sc(-c2ccc(C(F)(F)F)cc2)nc1C)c1ccc(OCC(=O)O)c(C)c1,,,,,8.22,,,
C/C(C#Cc1cc(O)ccc1O)=C/CC(=O)O,,,,,,4.3,,
C/C(C(=O)O)=C(/C)c1nc(-c2ccccc2)c(-c2ccccc2)o1,,,,,,,5.92,
C/C(CCCCN1C(=O)C(CCOc2ccccc2CC(=O)O)Oc2ccccc21)=N\O,,,,,8.0,,,
C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,,,,,4.6,,,
C/C(O)=C/C(C)=N/[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O,,,,,5.71,,,
C/C=C(/c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,,,,,,,6.795,
C/C=C(\C)C(=O)OC[C@@]12C(=O)C[C@@H](C)[C@](C)(CCC3=CC(=O)OC3)[C@H]1CCC[C@]2(O)CCl,,,,,5.9,,,
C/C=C(\C)C(=O)OC[C@@]12C(=O)C[C@@H](C)[C@](C)(CCC3=CC(=O)OC3)[C@H]1CCC[C@]21CO1,,,,,5.69,,,
C/C=C(\C)C(=O)OC[C@@]12[C@@H](OC(C)=O)C[C@@H](C)[C@](C)(CCC3=CC(=O)OC3)[C@H]1CCC[C@]2(O)CCl,,,,,4.99,,,
C/C=C(\C)C(=O)OC[C@@]12[C@@H](OC(C)=O)C[C@@H](C)[C@](C)(CCC3=CC(=O)OC3)[C@H]1CCC[C@]21CO1,,,,,4.75,,,
C/C=C(\C)C(=O)OC[C@@]12[C@@H](OC(C)=O)C[C@@H](C)[C@](C)(C[C@H](O)C3=CC(=O)OC3)[C@H]1CCC[C@]21CO1,,,,,4.82,,,
C/C=C(\C)C(=O)OC[C@@]12[C@H](CCC[C@]1(O)CCl)[C@@](C)(CCC1=CC(=O)OC1)[C@H](C)C[C@@H]2O,,,,,4.98,,,
